MUSC001	0.00	0.00	1.00	0.00	0.00
MUSC007	0.00	0.00	0.00	1.00	0.00
MUSC012	0.00	0.00	0.00	1.00	0.00
MUSC017	0.00	0.00	0.51	0.49	0.00
MUSC023	0.00	0.00	0.00	1.00	0.00
MUSC026	0.00	0.00	0.00	1.00	0.00
MUSC032	0.00	0.00	1.00	0.00	0.00
MUSC038	0.00	0.00	0.00	1.00	0.00
MUSC043	0.00	0.00	1.00	0.00	0.00
MUSC052	0.00	0.00	0.00	1.00	0.00
MUSC055	0.00	0.00	0.00	1.00	0.00
MUSC060	0.00	0.00	0.00	1.00	0.00
MUSC062	0.00	0.00	0.21	0.79	0.00
MUSC065	0.00	0.00	0.00	1.00	0.00
MUSC067	0.00	0.00	0.35	0.65	0.00
MUSC069	0.00	0.00	1.00	0.00	0.00
MUSC072	0.00	0.00	0.22	0.78	0.00
MUSC079	0.00	0.00	0.00	1.00	0.00
MUSC081	0.00	0.08	0.00	0.91	0.00
MUSC086	0.00	0.00	1.00	0.00	0.00
MUSC098	0.00	0.00	0.00	1.00	0.00
MUSC100	0.00	0.00	0.32	0.68	0.00
MUSC103	0.00	0.00	0.40	0.60	0.00
MUSC106	0.00	0.00	0.31	0.69	0.00
MUSC110	0.00	0.00	0.67	0.33	0.00
MUSC114	0.00	0.00	0.36	0.64	0.00
MUSC117	0.00	0.00	1.00	0.00	0.00
MUSC119	0.00	0.00	0.08	0.92	0.00
MUSC122	0.00	0.00	0.56	0.44	0.00
MUSC128	0.00	0.00	0.05	0.95	0.00
MUSC132	0.00	0.00	0.00	1.00	0.00
MUSC134	0.00	0.00	0.00	1.00	0.00
MUSC136	0.00	0.00	0.00	1.00	0.00
MUSC138	0.00	0.00	0.88	0.12	0.00
MUSC141	0.00	0.00	0.00	1.00	0.00
MUSC142	0.00	0.00	0.00	1.00	0.00
MUSC143	0.00	0.00	0.51	0.49	0.00
MUSC145	0.00	0.05	0.00	0.95	0.00
MUSC146	0.00	0.00	0.00	1.00	0.00
MUSC150	0.00	0.00	0.53	0.47	0.00
MUSC154	0.00	0.00	0.00	1.00	0.00
MUSC161	0.00	0.00	0.56	0.44	0.00
MUSC171	0.00	0.00	0.65	0.35	0.00
MUSC177	0.00	0.00	0.00	1.00	0.00
MUSC178	0.00	0.00	0.62	0.38	0.00
MUSC187	0.00	0.00	0.12	0.88	0.00
MUSC188	0.00	0.00	0.01	0.99	0.00
MUSC200	0.00	1.00	0.00	0.00	0.00
MUSC201	0.00	0.42	0.09	0.49	0.00
MUSC202	0.00	0.19	0.00	0.81	0.00
MUSC203	0.00	0.11	0.00	0.89	0.00
MUSC207	0.00	0.17	0.00	0.83	0.00
MUSC208	0.00	0.18	0.00	0.82	0.00
MUSC209	0.00	0.65	0.00	0.35	0.00
MUSC212	0.00	1.00	0.00	0.00	0.00
MUSC213	0.00	1.00	0.00	0.00	0.00
MUSC214	0.00	1.00	0.00	0.00	0.00
MUSC215	0.00	1.00	0.00	0.00	0.00
MUSC216	0.00	1.00	0.00	0.00	0.00
MUSC218	0.00	0.00	1.00	0.00	0.00
MUSC219	0.00	0.00	1.00	0.00	0.00
MUSC220	0.00	0.00	1.00	0.00	0.00
MUSC221	0.00	0.00	1.00	0.00	0.00
MUSC225	0.00	0.00	0.00	1.00	0.00
MUSC232	0.00	0.00	0.09	0.91	0.00
MUSC234	0.00	0.26	0.24	0.50	0.00
MUSC235	0.00	0.00	0.59	0.41	0.00
MUSC237	0.00	0.00	0.00	1.00	0.00
BG22	0.00	0.00	0.00	1.00	0.00
KS02	0.00	0.00	0.05	0.95	0.00
MG06	0.00	0.00	0.09	0.91	0.00
MG20	0.00	0.00	0.05	0.92	0.03
MK09	0.00	0.00	0.05	0.95	0.00
MK10	0.00	0.00	0.07	0.93	0.00
MS18	0.00	0.00	0.00	1.00	0.00
NT01	0.00	0.00	0.16	0.84	0.00
NT05	0.00	0.00	0.00	1.00	0.00
TA06	0.00	0.00	0.00	1.00	0.00
TA22	0.00	0.00	0.00	1.00	0.00
TS15	0.00	0.00	0.00	1.00	0.00
TW05	0.00	0.00	0.00	1.00	0.00
TW13	0.00	0.00	0.00	1.00	0.00
BG17	0.00	0.00	0.00	1.00	0.00
KS05	0.00	0.00	0.00	0.96	0.04
TA10	0.00	0.00	0.19	0.81	0.00
TW16	0.00	0.00	0.15	0.85	0.00
MG04	0.00	0.00	0.25	0.75	0.00
TS09	0.00	0.00	0.11	0.89	0.00
BG20	0.00	0.00	0.25	0.75	0.00
MS15	0.00	0.00	0.19	0.81	0.00
52696	0.00	0.44	0.07	0.49	0.00
71481	0.00	0.00	0.00	0.00	1.00
71482	0.00	0.00	0.00	0.00	1.00
71483	0.00	0.00	0.00	1.00	0.00
71498	0.00	0.00	0.00	1.00	0.00
71500	0.00	0.00	0.00	0.00	1.00
71521	0.00	0.00	0.00	0.00	1.00
71547	0.00	0.00	0.00	1.00	0.00
71550	0.00	0.00	0.00	0.00	1.00
71563	0.00	0.00	0.00	0.00	1.00
71564	0.00	0.00	0.00	0.92	0.08
71586	0.00	0.00	0.00	0.00	1.00
71615	0.00	0.00	0.00	0.00	1.00
71634	0.00	0.00	0.00	0.00	1.00
71653	0.00	0.00	0.00	1.00	0.00
71655	0.00	0.00	0.00	1.00	0.00
78592	0.00	0.00	0.00	0.00	1.00
78594	0.00	0.00	0.00	0.00	1.00
78597	0.00	0.00	0.00	0.00	1.00
78599	0.00	0.00	0.00	0.00	1.00
79803	0.00	0.00	0.00	0.00	1.00
79805	0.00	0.00	0.00	0.00	1.00
79817	0.00	0.00	0.00	0.00	1.00
79820	0.00	0.00	0.00	0.00	1.00
79821	0.00	0.00	0.00	0.00	1.00
79829	0.00	0.00	0.00	0.00	1.00
82687	0.00	0.00	0.00	0.00	1.00
82691	0.00	0.00	0.00	0.00	1.00
83850	0.00	0.00	0.00	0.00	1.00
