Row.names	x	sample_1	sample_2	status	value_1	value_2	log2_fold_change	test_stat	p_value	q_value	significant
50	XLOC_000960	Bra037613	EUCA	pk	OK	0.139623	8.55024	5.93635	1.45222	5e-05	0.00105935	yes
51	XLOC_000983	Bra033813	EUCA	pk	OK	3.18186	9.70839	1.60936	1.01907	5e-05	0.00105935	yes
52	XLOC_000999	Bra033787,Bra033788	EUCA	pk	OK	73.0231	38.3494	-0.929151	-0.741491	0.0011	0.0119263	yes
53	XLOC_001016	Bra029902	EUCA	pk	OK	8.2675	17.3995	1.07352	0.801588	0.00275	0.0231181	yes
54	XLOC_001025	Bra029919	EUCA	pk	OK	5.01296	10.1437	1.01685	0.858698	5e-05	0.00105935	yes
55	XLOC_001051	Bra029966	EUCA	pk	OK	19.4274	10.5838	-0.876228	-0.496811	0.00015	0.00261531	yes
56	XLOC_001052	Bra029969	EUCA	pk	OK	0.721135	4.87393	2.75674	0.797991	5e-05	0.00105935	yes
57	XLOC_001061	Bra029986	EUCA	pk	OK	134.584	73.4801	-0.873079	-0.714699	0.00055	0.00719733	yes
58	XLOC_001156	Bra031525	EUCA	pk	OK	0	8.36608	Inf	NA	0.00015	0.00261531	yes
59	XLOC_001167	Bra031513	EUCA	pk	OK	12.2291	18.7319	0.615178	0.55527	0.00715	0.0456392	yes
60	XLOC_001181	Bra031484	EUCA	pk	OK	1.97032	6.68598	1.76271	1.08966	0.00025	0.00388519	yes
61	XLOC_001241	Bra028361	EUCA	pk	OK	21.3647	11.0405	-0.952431	-0.741731	2e-04	0.00326884	yes
62	XLOC_001244	Bra028353	EUCA	pk	OK	6.63899	3.41668	-0.958368	-0.730489	0.00655	0.0431625	yes
63	XLOC_001294	Bra023798	EUCA	pk	OK	18.9165	6.30782	-1.58443	-1.01738	5e-05	0.00105935	yes
64	XLOC_001325	Bra023848	EUCA	pk	OK	2.34093	5.54251	1.24346	0.820148	0.00035	0.00506572	yes
65	XLOC_001340	Bra023877,Bra023878,Bra023879	EUCA	pk	OK	5.31581	2.59277	-1.03579	-0.606771	0.00205	0.0186707	yes
66	XLOC_001342	NA	EUCA	pk	OK	16.3333	0.439833	-5.21472	-2.06412	5e-05	0.00105935	yes
67	XLOC_001363	Bra023926	EUCA	pk	OK	4.43404	11.7372	1.40439	0.970043	5e-05	0.00105935	yes
68	XLOC_001364	Bra023927	EUCA	pk	OK	2.67605	6.17089	1.20537	0.812077	0.0061	0.0412841	yes
69	XLOC_001376	Bra038261,Bra038262	EUCA	pk	OK	5.09763	19.0741	1.90372	0.996248	5e-05	0.00105935	yes
70	XLOC_001399	NA	EUCA	pk	OK	4.16338	8.55759	1.03945	0.786595	1e-04	0.00189479	yes
71	XLOC_001405	Bra037536	EUCA	pk	OK	47.6884	29.8654	-0.675161	-0.610249	0.0029	0.0241258	yes
72	XLOC_001416	Bra037555	EUCA	pk	OK	5.52055	10.7121	0.956359	0.666473	0.00235	0.0205015	yes
73	XLOC_001429	Bra037580	EUCA	pk	OK	53.8097	136.441	1.34234	1.32304	5e-05	0.00105935	yes
74	XLOC_001557	NA	EUCA	pk	OK	25.6381	82.2655	1.682	0.853268	0.0024	0.0208017	yes
75	XLOC_001583	Bra021548,Bra021549	EUCA	pk	OK	15.1613	38.2262	1.33417	0.832081	0.001	0.0110821	yes
76	XLOC_001588	Bra021541	EUCA	pk	OK	2.7572	7.33936	1.41245	0.768032	1e-04	0.00189479	yes
77	XLOC_001595	Bra021524,Bra021525	EUCA	pk	OK	4.78068	8.20237	0.778825	0.633631	0.0024	0.0208017	yes
78	XLOC_001599	Bra021516,Bra021517	EUCA	pk	OK	24.4056	41.9825	0.782575	0.696508	0.001	0.0110821	yes
