x,y1,z1,y2,z2,y3,z3,y4,z4,y5,z5,y6,z6,y7,z7,y8,z8,y9,z9,x,y1,z1,y2,z2,y3,z3,y4,z4,y5,z5,y6,z6,y7,z7,y8,z8,y9,z9,x,y1,z1,y2,z2,y3,z3,y4,z4,y5,z5,y6,z6,y7,z7,y8,z8,y9,z9,x,y1,z1,y2,z2,y3,z3,y4,z4,y5,z5,y6,z6,y7,z7,y8,z8,y9,z9,x,y1,z1,y2,z2,y3,z3,y4,z4,y5,z5,y6,z6,y7,z7,y8,z8,y9,z9,x,y1,z1,y2,z2,y3,z3,y4,z4,y5,z5,y6,z6,y7,z7,y8,z8,y9,z9,x,y1,z1,y2,z2,y3,z3,y4,z4,y5,z5,y6,z6,y7,z7,y8,z8,y9,z9,x,y1,z1,y2,z2,y3,z3,y4,z4,y5,z5,y6,z6,y7,z7,y8,z8,y9,z9
20.31,0,0.18,0.1,0.17,0.2,0.18,0.3,0.16,0.4,0.15,0.5,0.21,0.6,0.16,0.7,0.14,0.8,0.18,20.31,0,0.22,0.1,0.2,0.2,0.19,0.3,0.18,0.4,0.23,0.5,0.19,0.6,0.17,0.7,0.18,0.8,0.18,20.31,0,0.22,0.1,0.2,0.2,0.24,0.3,0.17,0.4,0.19,0.5,0.22,0.6,0.2,0.7,0.13,0.8,0.16,20.31,0,0.22,0.1,0.2,0.2,0.24,0.3,0.17,0.4,0.19,0.5,0.22,0.6,0.2,0.7,0.13,0.8,0.16,20.31,0,0.22,0.1,0.2,0.2,0.24,0.3,0.17,0.4,0.19,0.5,0.22,0.6,0.2,0.7,0.13,0.8,0.16,20.31,0,0.22,0.1,0.2,0.2,0.17,0.3,0.19,0.4,0.17,0.5,0.19,0.6,0.21,0.7,0.15,0.8,0.18,20.31,0,0.17,0.1,0.16,0.2,0.16,0.3,0.17,0.4,0.21,0.5,0.14,0.6,0.19,0.7,0.16,0.8,0.24,20.31,0,0.15,0.1,0.17,0.2,0.19,0.3,0.17,0.4,0.16,0.5,0.2,0.6,0.2,0.7,0.17,0.8,0.15
22.35,0,0.17,0.1,0.19,0.2,0.18,0.3,0.16,0.4,0.16,0.5,0.24,0.6,0.16,0.7,0.14,0.8,0.17,22.35,0,0.16,0.1,0.11,0.2,0.16,0.3,0.17,0.4,0.21,0.5,0.19,0.6,0.17,0.7,0.18,0.8,0.18,22.35,0,0.21,0.1,0.2,0.2,0.25,0.3,0.17,0.4,0.2,0.5,0.22,0.6,0.19,0.7,0.16,0.8,0.17,22.35,0,0.21,0.1,0.2,0.2,0.25,0.3,0.17,0.4,0.2,0.5,0.22,0.6,0.19,0.7,0.16,0.8,0.17,22.35,0,0.21,0.1,0.2,0.2,0.25,0.3,0.17,0.4,0.2,0.5,0.22,0.6,0.19,0.7,0.16,0.8,0.17,22.35,0,0.22,0.1,0.2,0.2,0.18,0.3,0.18,0.4,0.18,0.5,0.22,0.6,0.2,0.7,0.15,0.8,0.23,22.35,0,0.17,0.1,0.16,0.2,0.16,0.3,0.17,0.4,0.2,0.5,0.13,0.6,0.19,0.7,0.16,0.8,0.24,22.35,0,0.15,0.1,0.16,0.2,0.18,0.3,0.16,0.4,0.15,0.5,0.18,0.6,0.2,0.7,0.17,0.8,0.16
24.31,0,0.17,0.1,0.19,0.2,0.18,0.3,0.13,0.4,0.16,0.5,0.2,0.6,0.15,0.7,0.14,0.8,0.17,24.31,0,0.16,0.1,0.17,0.2,0.16,0.3,0.17,0.4,0.24,0.5,0.21,0.6,0.17,0.7,0.17,0.8,0.16,24.31,0,0.23,0.1,0.2,0.2,0.24,0.3,0.17,0.4,0.18,0.5,0.23,0.6,0.19,0.7,0.14,0.8,0.17,24.31,0,0.23,0.1,0.2,0.2,0.24,0.3,0.17,0.4,0.18,0.5,0.23,0.6,0.19,0.7,0.14,0.8,0.17,24.31,0,0.23,0.1,0.2,0.2,0.24,0.3,0.17,0.4,0.18,0.5,0.23,0.6,0.19,0.7,0.14,0.8,0.17,24.31,0,0.24,0.1,0.2,0.2,0.18,0.3,0.18,0.4,0.2,0.5,0.19,0.6,0.19,0.7,0.14,0.8,0.2,24.31,0,0.17,0.1,0.16,0.2,0.15,0.3,0.18,0.4,0.19,0.5,0.14,0.6,0.18,0.7,0.16,0.8,0.21,24.31,0,0.16,0.1,0.16,0.2,0.18,0.3,0.17,0.4,0.15,0.5,0.18,0.6,0.2,0.7,0.17,0.8,0.16
26.31,0,0.17,0.1,0.18,0.2,0.18,0.3,0.16,0.4,0.15,0.5,0.23,0.6,0.15,0.7,0.14,0.8,0.18,26.31,0,0.18,0.1,0.19,0.2,0.18,0.3,0.17,0.4,0.21,0.5,0.18,0.6,0.16,0.7,0.18,0.8,0.18,26.31,0,0.23,0.1,0.2,0.2,0.24,0.3,0.18,0.4,0.18,0.5,0.21,0.6,0.18,0.7,0.15,0.8,0.18,26.31,0,0.23,0.1,0.2,0.2,0.24,0.3,0.18,0.4,0.18,0.5,0.21,0.6,0.18,0.7,0.15,0.8,0.18,26.31,0,0.23,0.1,0.2,0.2,0.24,0.3,0.18,0.4,0.18,0.5,0.21,0.6,0.18,0.7,0.15,0.8,0.18,26.31,0,0.21,0.1,0.2,0.2,0.17,0.3,0.19,0.4,0.18,0.5,0.19,0.6,0.2,0.7,0.15,0.8,0.19,26.31,0,0.16,0.1,0.17,0.2,0.16,0.3,0.18,0.4,0.19,0.5,0.14,0.6,0.2,0.7,0.15,0.8,0.18,26.31,0,0.17,0.1,0.17,0.2,0.18,0.3,0.18,0.4,0.15,0.5,0.18,0.6,0.2,0.7,0.18,0.8,0.15
28.31,0,0.18,0.1,0.17,0.2,0.17,0.3,0.15,0.4,0.18,0.5,0.2,0.6,0.15,0.7,0.13,0.8,0.17,28.31,0,0.19,0.1,0.13,0.2,0.15,0.3,0.17,0.4,0.23,0.5,0.22,0.6,0.15,0.7,0.17,0.8,0.17,28.31,0,0.2,0.1,0.21,0.2,0.25,0.3,0.17,0.4,0.18,0.5,0.24,0.6,0.18,0.7,0.15,0.8,0.17,28.31,0,0.2,0.1,0.21,0.2,0.25,0.3,0.17,0.4,0.18,0.5,0.24,0.6,0.18,0.7,0.15,0.8,0.17,28.31,0,0.2,0.1,0.21,0.2,0.25,0.3,0.17,0.4,0.18,0.5,0.24,0.6,0.18,0.7,0.15,0.8,0.17,28.31,0,0.22,0.1,0.2,0.2,0.18,0.3,0.19,0.4,0.18,0.5,0.18,0.6,0.2,0.7,0.15,0.8,0.19,28.31,0,0.16,0.1,0.17,0.2,0.16,0.3,0.16,0.4,0.18,0.5,0.14,0.6,0.2,0.7,0.15,0.8,0.18,28.31,0,0.17,0.1,0.16,0.2,0.18,0.3,0.15,0.4,0.17,0.5,0.18,0.6,0.21,0.7,0.17,0.8,0.16
30.31,0,0.18,0.1,0.19,0.2,0.17,0.3,0.19,0.4,0.14,0.5,0.16,0.6,0.16,0.7,0.14,0.8,0.18,30.31,0,0.17,0.1,0.11,0.2,0.13,0.3,0.17,0.4,0.23,0.5,0.19,0.6,0.16,0.7,0.17,0.8,0.17,30.31,0,0.22,0.1,0.19,0.2,0.26,0.3,0.18,0.4,0.19,0.5,0.22,0.6,0.19,0.7,0.17,0.8,0.17,30.31,0,0.22,0.1,0.19,0.2,0.26,0.3,0.18,0.4,0.19,0.5,0.22,0.6,0.19,0.7,0.17,0.8,0.17,30.31,0,0.22,0.1,0.19,0.2,0.26,0.3,0.18,0.4,0.19,0.5,0.22,0.6,0.19,0.7,0.17,0.8,0.17,30.31,0,0.22,0.1,0.2,0.2,0.18,0.3,0.19,0.4,0.18,0.5,0.21,0.6,0.2,0.7,0.15,0.8,0.19,30.31,0,0.18,0.1,0.16,0.2,0.16,0.3,0.17,0.4,0.2,0.5,0.14,0.6,0.2,0.7,0.16,0.8,0.16,30.31,0,0.16,0.1,0.16,0.2,0.17,0.3,0.16,0.4,0.16,0.5,0.19,0.6,0.2,0.7,0.15,0.8,0.15
32.31,0,0.17,0.1,0.2,0.2,0.17,0.3,0.13,0.4,0.15,0.5,0.21,0.6,0.16,0.7,0.14,0.8,0.19,32.31,0,0.21,0.1,0.15,0.2,0.19,0.3,0.16,0.4,0.22,0.5,0.19,0.6,0.16,0.7,0.16,0.8,0.18,32.31,0,0.21,0.1,0.2,0.2,0.24,0.3,0.17,0.4,0.19,0.5,0.21,0.6,0.19,0.7,0.2,0.8,0.17,32.31,0,0.21,0.1,0.2,0.2,0.24,0.3,0.17,0.4,0.19,0.5,0.21,0.6,0.19,0.7,0.2,0.8,0.17,32.31,0,0.21,0.1,0.2,0.2,0.24,0.3,0.17,0.4,0.19,0.5,0.21,0.6,0.19,0.7,0.2,0.8,0.17,32.31,0,0.23,0.1,0.2,0.2,0.17,0.3,0.19,0.4,0.19,0.5,0.18,0.6,0.19,0.7,0.15,0.8,0.19,32.31,0,0.16,0.1,0.15,0.2,0.16,0.3,0.18,0.4,0.19,0.5,0.14,0.6,0.18,0.7,0.16,0.8,0.16,32.31,0,0.16,0.1,0.17,0.2,0.19,0.3,0.16,0.4,0.16,0.5,0.19,0.6,0.21,0.7,0.17,0.8,0.16
34.31,0,0.19,0.1,0.16,0.2,0.18,0.3,0.17,0.4,0.17,0.5,0.2,0.6,0.15,0.7,0.15,0.8,0.18,34.31,0,0.21,0.1,0.19,0.2,0.17,0.3,0.17,0.4,0.21,0.5,0.2,0.6,0.17,0.7,0.18,0.8,0.17,34.31,0,0.22,0.1,0.2,0.2,0.26,0.3,0.19,0.4,0.2,0.5,0.23,0.6,0.18,0.7,0.33,0.8,0.18,34.31,0,0.22,0.1,0.2,0.2,0.26,0.3,0.19,0.4,0.2,0.5,0.23,0.6,0.18,0.7,0.33,0.8,0.18,34.31,0,0.22,0.1,0.2,0.2,0.26,0.3,0.19,0.4,0.2,0.5,0.23,0.6,0.18,0.7,0.33,0.8,0.18,34.31,0,0.21,0.1,0.2,0.2,0.18,0.3,0.19,0.4,0.17,0.5,0.19,0.6,0.19,0.7,0.16,0.8,0.2,34.31,0,0.16,0.1,0.17,0.2,0.16,0.3,0.17,0.4,0.2,0.5,0.13,0.6,0.18,0.7,0.16,0.8,0.16,34.31,0,0.16,0.1,0.17,0.2,0.19,0.3,0.16,0.4,0.16,0.5,0.19,0.6,0.21,0.7,0.16,0.8,0.16
36.31,0,0.17,0.1,0.17,0.2,0.17,0.3,0.14,0.4,0.18,0.5,0.26,0.6,0.16,0.7,0.14,0.8,0.18,36.31,0,0.17,0.1,0.12,0.2,0.14,0.3,0.17,0.4,0.21,0.5,0.2,0.6,0.17,0.7,0.18,0.8,0.16,36.31,0,0.2,0.1,0.21,0.2,0.24,0.3,0.18,0.4,0.19,0.5,0.22,0.6,0.18,0.7,0.39,0.8,0.18,36.31,0,0.2,0.1,0.21,0.2,0.24,0.3,0.18,0.4,0.19,0.5,0.22,0.6,0.18,0.7,0.39,0.8,0.18,36.31,0,0.2,0.1,0.21,0.2,0.24,0.3,0.18,0.4,0.19,0.5,0.22,0.6,0.18,0.7,0.39,0.8,0.18,36.31,0,0.21,0.1,0.2,0.2,0.17,0.3,0.18,0.4,0.19,0.5,0.18,0.6,0.2,0.7,0.16,0.8,0.17,36.31,0,0.17,0.1,0.16,0.2,0.17,0.3,0.16,0.4,0.19,0.5,0.14,0.6,0.19,0.7,0.16,0.8,0.16,36.31,0,0.16,0.1,0.17,0.2,0.18,0.3,0.16,0.4,0.15,0.5,0.17,0.6,0.21,0.7,0.16,0.8,0.15
38.31,0,0.19,0.1,0.18,0.2,0.17,0.3,0.14,0.4,0.17,0.5,0.2,0.6,0.17,0.7,0.13,0.8,0.17,38.31,0,0.23,0.1,0.17,0.2,0.2,0.3,0.17,0.4,0.21,0.5,0.2,0.6,0.17,0.7,0.17,0.8,0.16,38.31,0,0.22,0.1,0.2,0.2,0.24,0.3,0.18,0.4,0.2,0.5,0.22,0.6,0.18,0.7,0.4,0.8,0.2,38.31,0,0.22,0.1,0.2,0.2,0.24,0.3,0.18,0.4,0.2,0.5,0.22,0.6,0.18,0.7,0.4,0.8,0.2,38.31,0,0.22,0.1,0.2,0.2,0.24,0.3,0.18,0.4,0.2,0.5,0.22,0.6,0.18,0.7,0.4,0.8,0.2,38.31,0,0.21,0.1,0.2,0.2,0.17,0.3,0.19,0.4,0.19,0.5,0.2,0.6,0.19,0.7,0.17,0.8,0.2,38.31,0,0.18,0.1,0.15,0.2,0.15,0.3,0.16,0.4,0.2,0.5,0.14,0.6,0.18,0.7,0.16,0.8,0.14,38.31,0,0.17,0.1,0.18,0.2,0.19,0.3,0.17,0.4,0.17,0.5,0.19,0.6,0.2,0.7,0.17,0.8,0.15
